File,code,PrevDH,Lag,Seg_Start,Seg_End,Word,Word_Start,Word_End,PrevWord,Pre_Seg,Pre_Seg_Start,Pre_Seg_End,Post_Seg,Post_Seg_Start,Post_Seg_End,Window,Vowels_per_Second,gender,birthyear,age,obs,prev
PH00-1-1,1,9,11.044,1145.563,1145.593,THE,1145.563,1145.652,THAT,N,1145.523,1145.563,IY,1145.593,1145.652,1.381,5.793,m,1979,21,1,0
PH00-1-1,1,1,4.111,1149.553,1149.643,THIS,1149.553,1149.763,THE,N,1149.523,1149.553,AH,1149.643,1149.673,1.17,6.838,m,1979,21,1,1
PH00-1-1,1,1,0.27,1149.973,1150.003,THE,1149.973,1150.033,THIS,V,1149.943,1149.973,AH,1150.003,1150.033,1.31,6.107,m,1979,21,1,1
PH00-1-1,0,1,0.91,1150.863,1150.913,THE,1150.863,1150.943,THE,M,1150.773,1150.863,AH,1150.913,1150.943,1.83,4.918,m,1979,21,0,1
PH00-1-1,1,9,3.563,1154.416,1154.455,THE,1154.416,1154.506,THE,N,1154.386,1154.416,IY,1154.455,1154.506,0.85,9.412,m,1979,21,1,0
PH00-1-1,1,1,0.39,1154.836,1154.866,THE,1154.836,1154.896,THE,V,1154.806,1154.836,AH,1154.866,1154.896,0.99,7.071,m,1979,21,1,1
PH00-1-1,1,1,2.952,1157.758,1157.787,THEM,1157.758,1157.848,THE,S,1157.677,1157.758,AH,1157.787,1157.817,1.35,6.667,m,1979,21,1,1
PH00-1-1,1,1,40.465,1198.213,1198.243,THEY,1198.213,1198.313,THEM,Z,1198.113,1198.213,EY,1198.243,1198.313,1.41,4.255,m,1979,21,1,1
PH00-1-1,1,1,14.095,1212.278,1212.308,THAN,1212.278,1212.408,THEY,ER,1212.208,1212.278,AH,1212.308,1212.338,1.31,7.634,m,1979,21,1,1
PH00-1-1,1,1,13.955,1226.243,1226.303,THAN,1226.243,1226.363,THAN,ER,1226.213,1226.243,AH,1226.303,1226.333,0.76,9.211,m,1979,21,1,1
PH00-1-1,1,1,1.05,1227.323,1227.353,THAT,1227.323,1227.413,THAN,Z,1227.283,1227.323,AH,1227.353,1227.383,0.82,10.976,m,1979,21,1,1
PH00-1-1,1,1,0.29,1227.593,1227.623,THAN,1227.593,1227.703,THAT,ER,1227.563,1227.593,AH,1227.623,1227.653,0.75,10.667,m,1979,21,1,1
PH00-1-1,1,1,8.59,1236.192,1236.243,THE,1236.192,1236.293,THAN,ER,1236.153,1236.192,AH,1236.243,1236.293,1.37,5.839,m,1979,21,1,1
PH00-1-1,1,1,2.21,1238.353,1238.403,THERE,1238.353,1238.503,THE,N,1238.283,1238.353,EH,1238.403,1238.473,1.105,3.62,m,1979,21,1,1
PH00-1-1,2,1,1.864,1240.117,1240.237,THAT'S,1240.117,1240.367,THERE,sp,1239.728,1240.117,AE,1240.237,1240.267,1.61,3.727,m,1979,21,1,1
PH00-1-1,1,0,15.566,1255.873,1255.903,THE,1255.873,1255.933,THAT'S,N,1255.833,1255.873,AH,1255.903,1255.933,1.405,5.694,m,1979,21,1,0
